gene,logFC,pval,pval_adj
10019475365,0.0021628054359331267,0.7420583599471787,
10019481149,-0.019714214176046845,2.006016108012523e-09,
10019495284,0.010471055064579834,0.3915655371742648,
10019687586,-0.00171542164455106,0.794349160184339,
10019713746,0.03473803383632955,6.413394430464155e-05,
10019799479,0.00935331712967332,0.09419094944841694,
10019809115,0.024737129092973077,4.870908706390969e-07,
10019874890,0.012655411175772957,0.003740569802642038,
10019903058,-0.018742106610537705,0.33246390967100725,
10019909307,-0.007451136913220871,0.04721111141963436,
10019911222,-0.0031497322297103086,0.7764238865109276,
10019924807,0.04268407128647894,2.313447199823262e-08,
10019927856,-0.055882193939900966,4.869115197218872e-07,
10019932383,-0.02480917021892336,0.00013016659903094618,
10019948931,-0.0038899813074851006,0.41128905342755595,
10019975533,0.0527374076148346,5.597506440884138e-08,
10019977224,0.11269057803770292,9.527356614141845e-18,
10019977227,0.16746440958718922,2.111476836677163e-39,
10019987588,-0.01484524111774687,8.418364690915385e-05,
10020008603,0.026512934346661195,1.8791480835877577e-10,
10020014121,-0.08020808031662216,1.3713987138123112e-16,
10020044367,-0.020587246077055685,3.6393895036825595e-05,
10020044569,0.06224331239989522,6.1528623899558805e-15,
10020049808,0.04846705728348058,0.0006439769234447889,
10020060841,-0.05128947916471953,1.6165858856228505e-05,
10020067638,0.022393860540322566,0.003668317578078091,
10020082717,0.042612201543600375,6.725607599233861e-09,
10020084138,-0.06859294246093899,2.8372825309300036e-19,
10020109481,-0.0002969152438506281,0.9646771632959332,
10020124385,-0.06057014433108691,3.567086351014325e-05,
10020134015,-0.0364972068282618,5.102267418896179e-08,
10020140475,0.09993341362891864,1.5814453267280756e-19,
10020162607,0.04618550435500923,0.0004839060602025365,
10020166212,0.12257282192397781,3.1501518650980775e-36,
10020192767,0.019418299585248204,1.5624838162011845e-07,
10020216227,-0.13112984634256733,5.433121433547107e-20,
10020228202,0.13441344472325661,4.602806965902945e-28,
10020228490,0.0164350561731765,1.36588944908754e-07,
10020230502,-0.0477464132055784,3.236207148178295e-06,
10020234675,-0.009456515943082,0.5163512069424498,
10020272110,0.007816061796484487,0.03150041345065555,
10023804644,0.006666171899469896,0.36374707414988783,
10023804647,0.10314429957818963,5.967651470510305e-31,
10023804649,-0.04827925179374357,6.629439641547923e-05,
10023804650,0.09524132348919047,7.422595389197236e-19,
10023804651,-0.12019503032658926,1.574696661367711e-22,
10023804653,0.025970099944531335,1.3709257388789441e-06,
10023804655,0.025895649680032884,0.0008073203111859699,
10023804656,-0.0668248947131991,3.641369098462084e-07,
10023804657,-0.11407651162050854,1.3552530095076822e-39,
10023804663,0.029895634241643727,5.460279213134531e-14,
10023804666,0.017563282852753243,0.030309483066296355,
10023804668,-0.010298472488177522,0.12429777104807704,
10023804671,0.019742996315738642,0.006194304268557194,
10023804672,-0.010406788631613928,0.2502917754460084,
10023804676,-0.011804657658672689,0.00769235989287952,
10023804678,-0.003392945831965269,0.5829308103411119,
10023804679,-0.044460675970928704,2.2368101267098214e-23,
10023804682,0.08092156045167247,1.2434502322877614e-19,
10023804685,0.18422440520221903,1.1553516002432574e-29,
10023804689,-0.03599411385358516,3.220429476094487e-17,
10023804690,-0.040949987273314156,6.599234527367605e-05,
10023804691,-0.07131772199764126,1.8727613484961066e-06,
10023804695,0.08824343214156564,3.2453428175294445e-08,
10023804696,0.1582065888942983,3.5228261858577987e-34,
10023804698,-0.10685742079147317,7.907063237496338e-22,
10023804700,0.014834692628869946,0.008345478850241214,
10023804701,-0.05355180938192315,1.1796151918004103e-05,
10023804704,-0.05062677021782412,1.1870147905504356e-26,
10023804710,-0.15082041400158414,7.512890454678833e-33,
10023804713,-0.1469502983573608,5.155570925742064e-24,
10023804717,0.023935336002845704,0.0003298241547418354,
10023804720,0.008014717850667763,0.41593494268733866,
10023804723,-0.050389667599722424,1.070319036388034e-09,
10023804727,-0.049935832548301404,1.3369514311571795e-19,
10023804730,0.031825842495795155,1.9089408259421797e-08,
10023804732,-0.018530343281092047,6.762363088271808e-07,
10023804733,-0.024809056119786316,0.023096845044607357,
10023804736,-0.10136393026225599,2.6289146308822506e-25,
10023804737,0.029975013433449743,0.009210413846319753,
10023804739,0.24600570263494964,6.654132570762637e-25,
10023804740,-0.08230548705211013,1.5003702569926237e-16,
10023804742,-0.05721191257573044,2.031315712515755e-10,
10023804746,-0.06179652147100473,6.958017126847349e-14,
10023804750,0.014236188640636957,0.06353176436461279,
10023804752,0.07658434796800082,1.9467680961078545e-11,
10023804755,-0.08769265996612081,7.213585241351294e-48,
10023804762,-0.14827695680106365,,
10023804764,0.2795964201257818,4.165581807170809e-32,
10023804767,0.02482385780866037,1.2748329745023959e-05,
